
2024-08-19 22:31:30.405 [main] INFO  c.w.v.common.CommonApplication - Starting CommonApplication using Java 17.0.11 with PID 21652 (C:\Users\vamuhong\Documents\Formation 2023\backend\common\target\classes started by vamuhong in C:\Users\vamuhong\Documents\Formation 2023\backend\common)
2024-08-19 22:31:30.407 [main] INFO  c.w.v.common.CommonApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-19 22:31:31.707 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2024-08-19 22:31:31.719 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2024-08-19 22:31:31.720 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-08-19 22:31:31.721 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-19 22:31:31.796 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-08-19 22:31:31.797 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1313 ms
2024-08-19 22:31:32.183 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2024-08-19 22:31:32.209 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path '/'
2024-08-19 22:31:32.218 [main] INFO  c.w.v.common.CommonApplication - Started CommonApplication in 3.033 seconds (process running for 4.493)
2024-08-19 22:31:32.220 [main] INFO  c.w.v.common.CommonApplication - Application started successfully.
2024-08-19 22:34:58.651 [main] INFO  c.w.v.common.CommonApplication - Starting CommonApplication using Java 17.0.11 with PID 32708 (C:\Users\vamuhong\Documents\Formation 2023\backend\common\target\classes started by vamuhong in C:\Users\vamuhong\Documents\Formation 2023\backend\common)
2024-08-19 22:34:58.654 [main] INFO  c.w.v.common.CommonApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-19 22:34:59.956 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
